Id,SalePrice
1461,125650.8553
1462,152927.6577
1463,180793.5095
1464,184137.8541
1465,197155.5223
1466,183052.635
1467,170191.2344
1468,175349.3128
1469,181760.7921
1470,123109.0752
1471,203647.3415
1472,95188.30843
1473,98483.93753
1474,155183.2224
1475,133723.8101
1476,376886.1124
1477,250126.8535
1478,304547.6883
1479,256379.1555
1480,461614.9857
1481,303446.5093
1482,209376.0906
1483,179644.268
1484,173906.3623
1485,174563.915
1486,197564.7634
1487,320178.6279
1488,235462.0635
1489,210684.3281
1490,202709.5999
1491,192479.8218
1492,97764.63747
1493,177571.6532
1494,301083.6252
1495,295923.5061
1496,229553.3119
1497,188922.6527
1498,153759.7188
1499,153220.3208
1500,159574.62
1501,173833.8751
1502,157846.2339
1503,286885.2298
1504,231530.3418
1505,215986.3286
1506,178761.5696
1507,229388.9556
1508,194439.8036
1509,161431.813
1510,150137.1665
1511,149900.3866
1512,166059.6452
1513,149582.4377
1514,162376.7625
1515,193021.3996
1516,161430.1083
1517,153132.918
1518,134821.9262
1519,225397.7453
1520,138931.5175
1521,145281.5775
1522,162681.0759
1523,115697.6359
1524,123040.0778
1525,127992.0433
1526,129944.0597
1527,104967.7479
1528,126801.7508
1529,142585.5109
1530,168441.6543
1531,131722.2974
1532,105595.6268
1533,146629.1041
1534,116153.1126
1535,154175.0128
1536,116614.5535
1537,87153.83077
1538,174259.206
1539,234579.3263
1540,120738.9952
1541,146441.1384
1542,140895.2403
1543,208774.3624
1544,83090.68913
1545,104273.7974
1546,123932.5447
1547,136581.296
1548,130900.3364
1549,115832.7531
1550,142431.7167
1551,118699.5066
1552,148210.2683
1553,146052.6319
1554,112519.5011
1555,169694.7857
1556,100740.0993
1557,127601.6202
1558,94379.13557
1559,123103.6232
1560,150990.7722
1561,155699.6534
1562,127314.3634
1563,126186.5772
1564,160312.6621
1565,156851.9884
1566,230608.6715
1567,82723.83357
1568,217459.32
1569,149472.0644
1570,131544.4938
1571,130689.7776
1572,144170.3503
1573,240525.1242
1574,124810.668
1575,215815.0292
1576,228357.7378
1577,205630.2395
1578,151623.7352
1579,142932.269
1580,187705.2106
1581,141231.5338
1582,128383.9358
1583,336716.2414
1584,240755.3917
1585,140833.6407
1586,76594.86437
1587,107575.8769
1588,153051.3801
1589,102693.4109
1590,133298.9582
1591,105954.6017
1592,128040.2237
1593,117376.7498
1594,140389.7613
1595,126972.4423
1596,233988.1019
1597,165015.2786
1598,189949.6033
1599,195233.7069
1600,187918.9456
1601,78281.1599
1602,112281.963
1603,96138.42427
1604,279076.8062
1605,255582.5248
1606,169835.1383
1607,172133.4941
1608,214862.5666
1609,200455.8658
1610,162149.2236
1611,148870.0254
1612,168089.8469
1613,170123.3836
1614,120827.2868
1615,85429.6472
1616,81486.76243
1617,89310.58527
1618,126826.1309
1619,135348.5688
1620,164529.9163
1621,142138.4583
1622,146691.933
1623,289761.4268
1624,217942.0375
1625,130561.6025
1626,172286.4922
1627,186093.169
1628,285364.5766
1629,175808.0876
1630,331606.2287
1631,221823.9748
1632,251788.5752
1633,169211.5324
1634,185779.1511
1635,179694.7945
1636,163736.6601
1637,180241.2635
1638,209920.9882
1639,180098.4137
1640,244937.2554
1641,181570.0115
1642,219666.9666
1643,227707.657
1644,229303.4914
1645,180893.4711
1646,154974.2848
1647,163028.1876
1648,142931.3926
1649,138717.6971
1650,123425.4174
1651,124081.9994
1652,93700.79307
1653,97502.66157
1654,155847.2096
1655,152932.974
1656,150480.9754
1657,154352.9966
1658,155711.5739
1659,140630.8685
1660,150018.1922
1661,433182.4734
1662,377520.8994
1663,371892.355
1664,431810.1198
1665,312819.4628
1666,335127.4328
1667,352024.2737
1668,326524.7403
1669,300922.5617
1670,337583.7669
1671,263434.6519
1672,474586.5821
1673,301198.2416
1674,252684.7178
1675,192225.2949
1676,192826.0016
1677,215283.5344
1678,442671.7765
1679,380960.4595
1680,317201.1376
1681,256981.2569
1682,305314.8924
1683,187582.2357
1684,173200.5267
1685,174100.6613
1686,170713.2139
1687,168992.4803
1688,187988.1372
1689,190051.4691
1690,186025.3804
1691,175731.0382
1692,272858.3062
1693,170582.1974
1694,183087.5651
1695,170358.1504
1696,278020.4573
1697,170460.6296
1698,341751.1636
1699,331661.1298
1700,242574.6832
1701,264260.1369
1702,256032.9489
1703,252451.4582
1704,294957.247
1705,234128.845
1706,427039.5036
1707,219935.0913
1708,219101.1649
1709,282212.2312
1710,223373.4154
1711,267801.8991
1712,252027.537
1713,259033.0521
1714,218373.4671
1715,203242.8657
1716,181754.8678
1717,165896.8342
1718,133945.2003
1719,207510.0792
1720,252030.8423
1721,168593.0864
1722,126476.9733
1723,158153.4979
1724,212134.4671
1725,227545.4792
1726,191556.4995
1727,175516.7459
1728,186872.2347
1729,163805.9123
1730,166825.1587
1731,123768.658
1732,132412.6955
1733,127094.6782
1734,132268.3208
1735,132664.4273
1736,118311.8799
1737,355040.0533
1738,217151.7978
1739,286902.2157
1740,203072.7372
1741,184338.2832
1742,173046.282
1743,175468.3473
1744,308711.265
1745,230732.9248
1746,258270.6836
1747,213914.1038
1748,212201.9773
1749,161572.1474
1750,148283.2395
1751,228930.2698
1752,123730.4087
1753,143587.4322
1754,206025.9875
1755,168025.1574
1756,124985.6585
1757,119100.5509
1758,151998.267
1759,168352.7947
1760,161637.7684
1761,152565.7958
1762,175116.1571
1763,173141.2597
1764,120009.7306
1765,177532.5492
1766,169794.173
1767,204611.3255
1768,142964.1354
1769,167047.3575
1770,141733.0881
1771,139312.128
1772,143843.9711
1773,141913.9154
1774,135281.6947
1775,133303.5605
1776,121963.2682
1777,116710.7208
1778,133245.4542
1779,117496.9709
1780,176694.7885
1781,132591.9063
1782,103167.1016
1783,131437.2636
1784,100949.0571
1785,117405.57
1786,154189.3962
1787,173134.7849
1788,63706.22873
1789,98479.4589
1790,91292.99967
1791,179887.2295
1792,155017.8465
1793,142504.2648
1794,140767.5586
1795,136906.3449
1796,127505.637
1797,120655.2265
1798,124222.1268
1799,115772.9797
1800,126596.6418
1801,129736.4505
1802,150718.1038
1803,152425.5862
1804,140588.9766
1805,135228.9333
1806,114032.2288
1807,141537.2291
1808,120991.9406
1809,127563.8999
1810,145470.2622
1811,117334.4611
1812,115798.6675
1813,121066.7364
1814,97626.9529
1815,67741.44293
1816,103893.704
1817,133982.3956
1818,139191.4403
1819,116556.1708
1820,84978.5403
1821,121578.5791
1822,158179.3441
1823,67604.55583
1824,132914.7039
1825,139909.8406
1826,103532.6599
1827,109178.5958
1828,135112.1011
1829,117614.1784
1830,140326.1122
1831,163694.983
1832,118292.0184
1833,141897.2009
1834,132701.0152
1835,163305.3142
1836,129446.2482
1837,102710.818
1838,131526.3493
1839,91572.67477
1840,163079.4295
1841,146019.5231
1842,95840.88897
1843,143646.9166
1844,140784.801
1845,144491.257
1846,153364.3377
1847,156689.4219
1848,65195.43297
1849,121362.5383
1850,130308.6093
1851,150804.3293
1852,127952.2029
1853,139598.1414
1854,168708.279
1855,158188.2539
1856,220124.6967
1857,180026.0904
1858,141473.0042
1859,122006.41
1860,152867.6267
1861,122674.4786
1862,281648.3886
1863,275382.5042
1864,278322.5553
1865,329980.9329
1866,324246.1903
1867,242612.0167
1868,300424.1628
1869,198190.7144
1870,244266.7038
1871,254598.2327
1872,171094.9211
1873,228185.8282
1874,138268.1965
1875,205610.6364
1876,192479.398
1877,211538.5389
1878,207387.8351
1879,133249.1479
1880,135573.6987
1881,243133.8424
1882,257585.0066
1883,198956.4964
1884,216817.7596
1885,255095.0876
1886,296898.9878
1887,206334.0774
1888,280566.6105
1889,166648.367
1890,132535.5435
1891,143515.7227
1892,111982.9442
1893,135557.6232
1894,130038.1478
1895,148260.2157
1896,124425.9337
1897,120214.1245
1898,110835.1332
1899,136853.8987
1900,137398.7653
1901,165430.4137
1902,139082.6548
1903,216192.2977
1904,136398.5441
1905,179383.0352
1906,153495.5737
1907,199502.2495
1908,119344.9244
1909,136337.4359
1910,127403.0592
1911,194638.6013
1912,269664.7723
1913,146216.9686
1914,72461.40677
1915,325839.9631
1916,76603.3332
1917,259448.1999
1918,135868.9578
1919,159774.6209
1920,162472.8695
1921,408805.7281
1922,324868.8883
1923,198762.8383
1924,225965.5323
1925,226285.4069
1926,376542.1119
1927,138032.4646
1928,158086.4157
1929,126671.9098
1930,135108.9042
1931,139892.2183
1932,141213.0191
1933,178376.0264
1934,181201.8232
1935,176392.5112
1936,187450.0619
1937,183188.4504
1938,172720.5371
1939,252502.9772
1940,197457.1447
1941,177914.4312
1942,192111.5487
1943,199597.8104
1944,315672.141
1945,366622.2689
1946,162189.3036
1947,308938.6862
1948,168069.2424
1949,238054.6604
1950,180589.0567
1951,267288.6498
1952,232636.9377
1953,166669.9007
1954,199545.616
1955,131950.0778
1956,283188.1549
1957,164814.5824
1958,318869.2541
1959,141214.7428
1960,117748.4067
1961,120754.6375
1962,94434.6033
1963,102284.1012
1964,113196.1022
1965,150915.8213
1966,150335.5731
1967,294002.0969
1968,406168.2656
1969,373717.5225
1970,420528.3387
1971,417143.1697
1972,355195.1017
1973,270667.3219
1974,317866.1356
1975,437116.847
1976,280074.0532
1977,363658.221
1978,355606.563
1979,333130.8241
1980,197562.6284
1981,339784.9851
1982,233348.2947
